Action 4732152 : 0.0 s (cum. time 128.7744 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732153 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732154 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732155 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732156 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732157 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732158 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732159 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732160 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732161 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732162 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732163 : 0.0 s (cum. time 128.7745 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732164 : 0.0 s (cum. time 128.7746 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732165 : 0.0001 s (cum. time 128.7746 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732166 : 0.0 s (cum. time 128.7746 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732167 : 0.0 s (cum. time 128.7746 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732168 : 0.0 s (cum. time 128.7746 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732169 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732170 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732171 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732172 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732173 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732174 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732175 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732176 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732177 : 0.0 s (cum. time 128.7747 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732178 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732179 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732180 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732181 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
Action 4732182 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.27536769 value
Action 4732183 : 0.0 s (cum. time 128.7748 s), 0 visited nodes, 0 visited leaves, size tt 62921, 1.32754745 value
